,price_SPY,dividend_SPY,price_change_SPY,dividend_yield_SPY,return_SPY,price_TLT,dividend_TLT,price_change_TLT,dividend_yield_TLT,return_TLT,price_IEF,dividend_IEF,price_change_IEF,dividend_yield_IEF,return_IEF,price_GLD,dividend_GLD,price_change_GLD,dividend_yield_GLD,return_GLD,price_DJP,dividend_DJP,price_change_DJP,dividend_yield_DJP,return_DJP,quantity_SPY,value_SPY,required_amount_SPY,required_quantity_SPY,total_value
2006-10-31,105.65107727050781,0.0,-0.0001446219723880704,0.0,-0.0001446219723880704,58.71845245361328,0.0,0.007742219154204921,0.0,0.007742219154204921,58.9283447265625,0.0,0.004463338810474227,0.0,0.004463338810474227,60.2400016784668,0.0,0.005676129280914877,0.0,0.005676129280914877,48.52000045776367,0.0,-0.0006178945369369471,0.0,-0.0006178945369369471,0.0,0.0,10000.0,94.65118821643544,10000.0
2006-11-01,104.9379653930664,0.0,-0.00674968865310821,0.0,-0.00674968865310821,59.04332733154297,0.345,0.005532756132943684,0.00584316663020597,0.011375922763149655,59.132877349853516,0.308,0.0034708699903260865,0.0052086083715789785,0.008679478361905066,61.36000061035156,0.0,0.018592279227726438,0.0,0.018592279227726438,48.790000915527344,0.0,0.005564724963238676,0.0,0.005564724963238676,94.65118821643544,9932.503113468918,9932.503113468918,94.65118821643544,9932.503113468918
2006-11-02,104.87661743164062,0.0,-0.0005846116912595622,0.0,-0.0005846116912595622,58.80048370361328,0.0,-0.004112973284280841,0.0,-0.004112973284280841,58.969478607177734,0.0,-0.0027632469448264363,0.0,-0.0027632469448264363,61.91999816894531,0.0,0.009126426874566773,0.0,0.009126426874566773,49.15999984741211,0.0,0.007583499178968278,0.0,0.007583499178968278,94.65118821643544,9926.69645602531,9926.69645602531,94.65118821643544,9926.69645602531
2006-11-03,104.692626953125,0.0,-0.0017543517613499704,0.0,-0.0017543517613499704,58.10479736328125,0.0,-0.011831303018503547,0.0,-0.011831303018503547,58.522064208984375,0.0,-0.007587219842552617,0.0,-0.007587219842552617,62.29999923706055,0.0,0.006136968335793913,0.0,0.006136968335793913,49.63999938964844,0.0,0.009764026520061142,0.0,0.009764026520061142,94.65118821643544,9909.281538613297,9909.281538613297,94.65118821643544,9909.281538613297
2006-11-06,105.87342834472656,0.0,0.011278744511113103,0.0,0.011278744511113103,58.27545166015625,0.0,0.0029370087259412703,0.0,0.0029370087259412703,58.57886505126953,0.0,0.0009705884960298228,0.0,0.0009705884960298228,61.88999938964844,0.0,-0.006581057021397441,0.0,-0.006581057021397441,49.619998931884766,0.0,-0.0004029101130054169,0.0,-0.0004029101130054169,94.65118821643544,10021.045793376004,10021.045793376004,94.65118821643544,10021.045793376004
2006-11-07,106.27976989746094,0.0,0.003837993716528265,0.0,0.003837993716528265,58.5445442199707,0.0,0.004617597155380571,0.0,0.004617597155380571,58.777713775634766,0.0,0.003394547234590428,0.0,0.003394547234590428,62.040000915527344,0.0,0.002423679550140667,0.0,0.002423679550140667,49.88999938964844,0.0,0.005441363635140473,0.0,0.005441363635140473,94.65118821643544,10059.506504164025,10059.506504164025,94.65118821643544,10059.506504164025
2006-11-08,106.50984954833984,0.0,0.0021648489745591526,0.0,0.0021648489745591526,58.75458526611328,0.0,0.003587713405938997,0.0,0.003587713405938997,58.905616760253906,0.0,0.002176045586042452,0.0,0.002176045586042452,61.11000061035156,0.0,-0.014990333517919452,0.0,-0.014990333517919452,49.77000045776367,0.0,-0.0024052702616320643,0.0,-0.0024052702616320643,94.65118821643544,10081.283816504136,10081.283816504136,94.65118821643544,10081.283816504136
2006-11-09,105.9500732421875,0.0,-0.005255629488973068,0.0,-0.005255629488973068,58.72175216674805,0.0,-0.0005588176517037358,0.0,-0.0005588176517037358,58.89850616455078,0.0,-0.00012071167562954788,0.0,-0.00012071167562954788,62.95000076293945,0.0,0.030109640553271477,0.0,0.030109640553271477,50.060001373291016,0.0,0.005826821636729651,0.0,0.005826821636729651,94.65118821643544,10028.30032399141,10028.30032399141,94.65118821643546,10028.30032399141
2006-11-10,105.99612426757812,0.0,0.0004346483582446936,0.0,0.0004346483582446936,58.977725982666016,0.0,0.004359097037688775,0.0,0.004359097037688775,59.026363372802734,0.0,0.002170805621024563,0.0,0.002170805621024563,62.4900016784668,0.0,-0.007307372182646099,0.0,-0.007307372182646099,49.029998779296875,0.0,-0.02057536088170564,0.0,-0.02057536088170564,94.65118821643546,10032.659108263219,10032.659108263219,94.65118821643546,10032.659108263219
2006-11-13,106.25678253173828,0.0,0.0024591301423639855,0.0,0.0024591301423639855,58.96460723876953,0.0,-0.000222435566612722,0.0,-0.000222435566612722,58.9979133605957,0.0,-0.0004819882266394737,0.0,-0.0004819882266394737,62.189998626708984,0.0,-0.0048008168298896425,0.0,-0.0048008168298896425,48.90999984741211,0.0,-0.0024474594100017955,0.0,-0.0024474594100017955,94.65118821643546,10057.330722684412,10057.330722684412,94.65118821643546,10057.330722684412
2006-11-14,107.0542221069336,0.0,0.0075048345733330635,0.0,0.0075048345733330635,59.19427490234375,0.0,0.0038950087913620646,0.0,0.0038950087913620646,59.11869430541992,0.0,0.0020472070611379234,0.0,0.0020472070611379234,61.630001068115234,0.0,-0.009004624070746425,0.0,-0.009004624070746425,48.95000076293945,0.0,0.0008178473860587232,0.0,0.0008178473860587232,94.65118821643546,10132.809326007457,10132.809326007457,94.65118821643546,10132.809326007457
2006-11-15,107.36090087890625,0.0,0.0028647050619481362,0.0,0.0028647050619481362,58.971099853515625,0.0,-0.003770213406555145,0.0,-0.003770213406555145,58.955322265625,0.0,-0.0027634581872005848,0.0,-0.0027634581872005848,61.84000015258789,0.0,0.0034074165314479377,0.0,0.0034074165314479377,49.189998626708984,0.0,0.004902918488843833,0.0,0.004902918488843833,94.65118821643546,10161.836836175426,10161.836836175426,94.65118821643544,10161.836836175426
2006-11-16,107.63693237304688,0.0,0.0025710616423755273,0.0,0.0025710616423755273,58.70204544067383,0.0,-0.004562479138258024,0.0,-0.004562479138258024,58.80615234375,0.0,-0.002530219768843045,0.0,-0.002530219768843045,61.310001373291016,0.0,-0.008570484766965092,0.0,-0.008570484766965092,48.369998931884766,0.0,-0.016670049150580346,0.0,-0.016670049150580346,94.65118821643544,10187.963545080993,10187.963545080993,94.65118821643544,10187.963545080993
2006-11-17,107.6675796508789,0.0,0.0002847282726881062,0.0,0.0002847282726881062,59.03676986694336,0.0,0.00570209136252009,0.0,0.00570209136252009,59.019222259521484,0.0,0.0036232589155975603,0.0,0.0036232589155975603,61.779998779296875,0.0,0.007665917394851229,0.0,0.007665917394851229,48.58000183105469,0.0,0.004341594041911145,0.0,0.004341594041911145,94.65118821643544,10190.864346343395,10190.864346343395,94.65118821643544,10190.864346343395
2006-11-20,107.72894287109375,0.0,0.0005699321969883098,0.0,0.0005699321969883098,59.128631591796875,0.0,0.0015560086546155816,0.0,0.0015560086546155816,59.05479431152344,0.0,0.0006027197689175701,0.0,0.0006027197689175701,61.77000045776367,0.0,-0.0001618375158750629,0.0,-0.0001618375158750629,48.849998474121094,0.0,0.005557773423009893,0.0,0.005557773423009893,94.65118821643544,10196.672448049516,10196.672448049516,94.65118821643544,10196.672448049516
2006-11-21,107.83631134033203,0.0,0.0009966538831329697,0.0,0.0009966538831329697,59.27305221557617,0.0,0.0024424820918624857,0.0,0.0024424820918624857,59.14000701904297,0.0,0.001442943092308857,0.0,0.001442943092308857,62.27000045776367,0.0,0.008094544217170263,0.0,0.008094544217170263,49.540000915527344,0.0,0.014124922476134616,0.0,0.014124922476134616,94.65118821643544,10206.835001239899,10206.835001239899,94.65118821643544,10206.835001239899
2006-11-22,108.05097961425781,0.0,0.001990686358403826,0.0,0.001990686358403826,59.371482849121094,0.0,0.0016606304191477683,0.0,0.0016606304191477683,59.232357025146484,0.0,0.0015615487849667264,0.0,0.0015615487849667264,62.5,0.0,0.003693585041681935,0.0,0.003693585041681935,49.31999969482422,0.0,-0.004440880432728611,0.0,-0.004440880432728611,94.65118821643544,10227.153608439345,10227.153608439345,94.65118821643544,10227.153608439345
2006-11-24,107.6139144897461,0.0,-0.00404498993042024,0.0,-0.00404498993042024,59.47652053833008,0.0,0.0017691606166534424,0.0,0.0017691606166534424,59.296268463134766,0.0,0.0010789953531842311,0.0,0.0010789953531842311,63.5,0.0,0.016000000000000014,0.0,0.016000000000000014,50.099998474121094,0.0,0.01581506050533754,0.0,0.01581506050533754,94.65118821643544,10185.784875076346,10185.784875076346,94.65118821643543,10185.784875076346
2006-11-27,106.13410949707031,0.0,-0.013751056261565364,0.0,-0.013751056261565364,59.6931037902832,0.0,0.003641491633888494,0.0,0.003641491633888494,59.35308837890625,0.0,0.0009582376301944251,0.0,0.0009582376301944251,63.70000076293945,0.0,0.0031496183140071743,0.0,0.0031496183140071743,50.25,0.0,0.0029940425239012303,0.0,0.0029940425239012303,94.65118821643543,10045.719574190969,10045.719574190969,94.65118821643543,10045.719574190969
2006-11-28,106.59414672851562,0.0,0.004334489954504361,0.0,0.004334489954504361,59.81782913208008,0.0,0.002089443065903751,0.0,0.002089443065903751,59.45962142944336,0.0,0.0017949032383455243,0.0,0.0017949032383455243,63.56999969482422,0.0,-0.00204083306998748,0.0,-0.00204083306998748,50.310001373291016,0.0,0.0011940571799207156,0.0,0.0011940571799207156,94.65118821643543,10089.262644771068,10089.262644771068,94.65118821643544,10089.262644771068
